created_utc	v	v_base	raw	final	active_cap	cap_visible_vmin	cap_occl_vmin	v_vis	v_occ	conf	kappa_vis	s_visible_m	psi_vis	psi_thresh	occlusion_reason	tail_frac	s_tail	overslow
2025-09-05 00:43:54	20.37986183166504	4.110758590392443	4.5218344494316876	4.5218344494316876	visible	4.110758590392443	9.210449974347119	5.044771215722796	9.210449974347119	0.31921739156091883	0.07739182441547095	28.531806564331053	2.20812856388289	0.403	fov_exit	0.1	0.0	1
2025-09-05 00:43:54	20.507707595825195	4.629885365841183	5.092873902425302	5.092873902425302	visible	4.629885365841183	9.210449974347119	5.044771215722796	9.210449974347119	0.25577113860091527	0.07739182441547095	28.71079063415527	2.2219804675878922	0.403	fov_exit	0.1	0.0	1
2025-09-05 00:43:55	20.623300552368164	4.353407957379208	4.353407957379208	4.353407957379208	visible	4.353407957379208	9.210449974347119	5.044771215722796	9.210449974347119	0.24779373606917393	0.07739182441547095	28.87262077331543	2.2345047973029066	0.403	fov_exit	0.1	0.0	1
2025-09-05 00:43:55	21.00166893005371	4.230812092525347	4.230812092525347	4.230812092525347	visible	4.230812092525347	9.210449974347119	5.044771215722796	9.210449974347119	0.2773349721136818	0.07739182441547095	29.402336502075194	2.2755004639731955	0.403	fov_exit	0.1	0.0	1
2025-09-05 00:43:56	21.391225814819336	4.0721745633436095	4.0721745633436095	4.0721745633436095	visible	4.0721745633436095	9.210449974347119	5.044771215722796	9.210449974347119	0.4566927513144965	0.07739182441547095	29.94771614074707	2.3177083892090624	0.403	fov_exit	0.1	0.0	1
2025-09-05 00:43:57	21.786394119262695	4.076758557563863	4.076758557563863	4.076758557563863	visible	4.076758557563863	9.210449974347119	5.044771215722796	9.210449974347119	0.6088883041925665	0.07739182441547095	30.50095176696777	2.360524303653918	0.403	fov_exit	0.1	0.0	1
2025-09-05 00:43:57	22.153547286987305	4.156913784065098	4.572605162471608	4.572605162471608	visible	4.156913784065098	9.210449974347119	5.044771215722796	9.210449974347119	0.6464088990053513	0.07739182441547095	31.014966201782226	2.400304818540096	0.403	fov_exit	0.1	0.0	1
2025-09-05 00:43:58	22.62952423095703	4.617786783950106	5.079565462345117	5.079565462345117	visible	4.617786783950106	9.210449974347119	5.044771215722796	9.210449974347119	0.6758773102990541	0.07739182441547095	31.681333923339842	2.4518762322430203	0.403	fov_exit	0.1	0.0	1
2025-09-05 00:43:58	23.082706451416016	5.427409607781626	5.970150568559789	5.970150568559789	visible	5.427409607781626	9.210449974347119	5.044771215722796	9.210449974347119	0.6884887786966511	0.07739182441547095	32.31578903198242	2.500977870610585	0.403	fov_exit	0.1	0.0	1
2025-09-05 00:43:59	23.435501098632812	5.70367868936088	5.70367868936088	5.70367868936088	visible	5.70367868936088	9.210449974347119	5.044771215722796	9.210449974347119	0.6844230442075457	0.07739182441547095	32.80970153808594	2.539202660559554	0.403	fov_exit	0.1	0.0	1
