# ts	v	v_base	v_vis	v_occ	v_lkg	cap_visible	cap_occl	final
1198.305	30.234	4.753	4.745	70.000	4.745	4.753	70.000	4.753
1198.357	30.182	4.765	4.753	70.000	4.753	4.765	70.000	4.765
1198.409	30.144	4.801	4.765	70.000	4.765	4.801	70.000	4.801
1198.460	30.111	4.871	4.801	70.000	4.801	4.871	70.000	4.871
1198.509	30.066	4.940	4.871	70.000	4.871	4.940	70.000	4.940
1198.556	30.030	5.005	4.940	70.000	4.940	5.005	70.000	5.005
1198.608	29.993	4.998	5.005	70.000	5.005	4.998	70.000	4.998
1198.660	29.938	5.023	4.998	70.000	4.998	5.023	70.000	5.023
1198.709	29.908	5.067	5.023	70.000	5.023	5.067	70.000	5.067
1198.759	29.883	5.043	5.067	70.000	5.067	5.043	70.000	5.043
1198.806	29.851	5.091	5.043	70.000	5.043	5.091	70.000	5.091
1198.859	29.851	5.098	5.091	70.000	5.091	5.098	70.000	5.098
1198.909	29.864	5.074	5.098	70.000	5.098	5.074	70.000	5.074
1198.959	29.874	4.993	5.074	70.000	5.074	4.993	70.000	4.993
1199.009	29.900	5.000	4.993	70.000	4.993	5.000	70.000	5.000
1199.060	29.918	5.037	5.000	70.000	5.000	5.037	70.000	5.037
1199.106	29.923	5.079	5.037	70.000	5.037	5.079	70.000	5.079
1199.160	29.939	5.023	5.079	70.000	5.079	5.023	70.000	5.023
1199.210	29.951	5.001	5.023	70.000	5.023	5.001	70.000	5.001
1199.260	29.963	4.937	5.001	70.000	5.001	4.937	70.000	4.937
1199.310	29.975	4.932	4.937	70.000	4.937	4.932	70.000	4.932
1199.361	29.996	4.931	4.932	70.000	4.932	4.931	70.000	4.931
1199.407	29.998	4.808	4.931	70.000	4.931	4.808	70.000	4.808
1199.460	30.025	4.831	4.808	70.000	4.808	4.831	70.000	4.831
1199.508	30.056	4.747	4.831	70.000	4.831	4.747	70.000	4.747
1199.557	30.072	4.634	4.747	70.000	4.747	4.634	70.000	4.634
1199.609	30.102	4.651	4.634	70.000	4.634	4.651	70.000	4.651
1199.660	30.128	4.558	4.651	70.000	4.651	4.558	70.000	4.558
1199.707	30.153	4.458	4.558	70.000	4.558	4.458	70.000	4.458
1199.759	30.172	4.310	4.458	70.000	4.458	4.310	70.000	4.310
1199.808	30.198	4.189	4.310	70.000	4.310	4.189	70.000	4.189
1199.859	30.224	4.070	4.189	70.000	4.189	4.070	70.000	4.070
1199.909	30.275	4.121	4.070	70.000	4.070	4.121	70.000	4.121
1199.960	30.306	4.068	4.121	70.000	4.121	4.068	70.000	4.068
1200.010	30.320	3.988	4.068	70.000	4.068	3.988	70.000	3.988
1200.060	30.342	3.916	3.988	70.000	3.988	3.916	70.000	3.916
1200.109	30.383	3.924	3.916	70.000	3.916	3.924	70.000	3.924
1200.157	30.389	3.911	3.924	70.000	3.924	3.911	70.000	3.911
1200.205	30.415	3.891	3.911	70.000	3.911	3.891	70.000	3.891
1200.256	30.455	3.853	3.891	70.000	3.891	3.853	70.000	3.853
1200.310	30.465	3.883	3.853	70.000	3.853	3.883	70.000	3.883
1200.359	30.497	3.937	3.883	70.000	3.883	3.937	70.000	3.937
1200.409	30.553	4.032	3.937	70.000	3.937	4.032	70.000	4.032
1200.461	30.554	4.152	4.032	70.000	4.032	4.152	70.000	4.152
1200.510	30.590	4.185	4.152	70.000	4.152	4.185	70.000	4.185
1200.554	30.636	4.175	4.185	70.000	4.185	4.175	70.000	4.175
1200.611	30.662	4.090	4.175	70.000	4.175	4.090	70.000	4.090
1200.655	30.677	4.044	4.090	70.000	4.090	4.044	70.000	4.044
1200.710	30.714	4.038	4.044	70.000	4.044	4.038	70.000	4.038
1200.760	30.744	3.951	4.038	70.000	4.038	3.951	70.000	3.951
1200.809	30.777	3.974	3.951	70.000	3.951	3.974	70.000	3.974
1200.859	30.804	3.962	3.974	70.000	3.974	3.962	70.000	3.962
1200.910	30.834	3.947	3.962	70.000	3.962	3.947	70.000	3.947
1200.960	30.853	3.970	3.947	70.000	3.947	3.970	70.000	3.970
1201.011	30.889	3.971	3.970	70.000	3.970	3.971	70.000	3.971
1201.060	30.901	3.946	3.971	70.000	3.971	3.946	70.000	3.946
1201.109	30.909	3.933	3.946	70.000	3.946	3.933	70.000	3.933
1201.160	30.912	3.940	3.933	70.000	3.933	3.940	70.000	3.940
1201.210	30.912	3.975	3.940	70.000	3.940	3.975	70.000	3.975
1201.262	30.921	4.031	3.975	70.000	3.975	4.031	70.000	4.031
1201.306	30.926	4.057	4.031	70.000	4.031	4.057	70.000	4.057
1201.357	30.936	4.092	4.057	70.000	4.057	4.092	70.000	4.092
1201.410	30.938	4.092	4.092	70.000	4.092	4.092	70.000	4.092
1201.460	30.943	4.131	4.092	70.000	4.092	4.131	70.000	4.131
1201.510	30.959	4.165	4.131	70.000	4.131	4.165	70.000	4.165
1201.561	30.961	4.148	4.165	70.000	4.165	4.148	70.000	4.148
1201.610	30.956	4.158	4.148	70.000	4.148	4.158	70.000	4.158
1201.660	30.977	4.161	4.158	70.000	4.158	4.161	70.000	4.161
1201.710	30.997	4.219	4.161	70.000	4.161	4.219	70.000	4.219
1201.757	31.010	4.258	4.219	70.000	4.219	4.258	70.000	4.258
1201.809	31.013	4.276	4.258	70.000	4.258	4.276	70.000	4.276
1201.855	31.031	4.235	4.276	70.000	4.276	4.235	70.000	4.235
1201.909	31.062	4.247	4.235	70.000	4.235	4.247	70.000	4.247
1201.960	31.069	4.258	4.247	70.000	4.247	4.258	70.000	4.258
1202.009	31.052	4.296	4.258	70.000	4.258	4.296	70.000	4.296
1202.061	31.043	4.329	4.296	70.000	4.296	4.329	70.000	4.329
1202.110	31.056	4.399	4.329	70.000	4.329	4.399	70.000	4.399
1202.160	31.040	4.432	4.399	70.000	4.399	4.432	70.000	4.432
1202.207	31.023	4.463	4.432	70.000	4.432	4.463	70.000	4.463
1202.259	31.008	4.474	4.463	70.000	4.463	4.474	70.000	4.474
1202.310	30.999	4.472	4.474	70.000	4.474	4.472	70.000	4.472
1202.356	30.981	4.450	4.472	70.000	4.472	4.450	70.000	4.450
1202.407	30.969	4.481	4.450	70.000	4.450	4.481	70.000	4.481
1202.460	30.963	4.530	4.481	70.000	4.481	4.530	70.000	4.530
1202.508	30.914	4.492	4.530	70.000	4.530	4.492	70.000	4.492
1202.560	30.880	4.546	4.492	70.000	4.492	4.546	70.000	4.546
1202.610	30.867	4.559	4.546	70.000	4.546	4.559	70.000	4.559
1202.660	30.831	4.571	4.559	70.000	4.559	4.571	70.000	4.571
1202.706	30.796	4.520	4.571	70.000	4.571	4.520	70.000	4.520
1202.760	30.743	4.519	4.520	70.000	4.520	4.519	70.000	4.519
1202.809	30.689	4.562	4.519	70.000	4.519	4.562	70.000	4.562
1202.860	30.651	4.557	4.562	70.000	4.562	4.557	70.000	4.557
1202.910	30.649	4.587	4.557	70.000	4.557	4.587	70.000	4.587
1202.960	30.663	4.594	4.587	70.000	4.587	4.594	70.000	4.594
1203.009	30.664	4.626	4.594	70.000	4.594	4.626	70.000	4.626
1203.060	30.664	4.607	4.626	70.000	4.626	4.607	70.000	4.607
1203.111	30.644	4.579	4.607	70.000	4.607	4.579	70.000	4.579
1203.161	30.607	4.557	4.579	70.000	4.579	4.557	70.000	4.557
1203.209	30.569	4.562	4.557	70.000	4.557	4.562	70.000	4.562
1203.260	30.482	4.516	4.562	70.000	4.562	4.516	70.000	4.516
1203.310	30.420	4.509	4.516	70.000	4.516	4.509	70.000	4.509
1203.360	30.344	4.566	4.509	70.000	4.509	4.566	70.000	4.566
1203.410	30.291	4.616	4.566	70.000	4.566	4.616	70.000	4.616
1203.459	30.234	4.590	4.616	70.000	4.616	4.590	70.000	4.590
1203.510	30.187	4.585	4.590	70.000	4.590	4.585	70.000	4.585
1203.560	30.147	4.563	4.585	70.000	4.585	4.563	70.000	4.563
1203.610	30.102	4.538	4.563	70.000	4.563	4.538	70.000	4.538
1203.656	30.052	4.506	4.538	70.000	4.538	4.506	70.000	4.506
1203.706	30.026	4.473	4.506	70.000	4.506	4.473	70.000	4.473
1203.759	29.961	4.460	4.473	70.000	4.473	4.460	70.000	4.460
1203.809	29.913	4.444	4.460	70.000	4.460	4.444	70.000	4.444
1203.860	29.885	4.428	4.444	70.000	4.444	4.428	70.000	4.428
