# flagged-only | window: 2025-09-05_004324UTC -> 2025-09-05_014324UTC | files=16
2025-09-05_005727UTC | 00000085--f247b281ca--80 | [rlog] v=0.2 base=16.0 raw=16.0 final=16.0 | cap=occlusion vis=16.0 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.1/0.4 reason=fov_exit tail=0.9@1537.8 | flags=psi_below_thresh
2025-09-05_005727UTC | 00000085--f247b281ca--80 | [rlog] v=0.1 base=17.3 raw=17.3 final=17.3 | cap=occlusion vis=17.3 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1538.0 | flags=psi_below_thresh
2025-09-05_005728UTC | 00000085--f247b281ca--80 | [rlog] v=0.2 base=17.4 raw=17.4 final=17.4 | cap=occlusion vis=17.4 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.1/0.4 reason=fov_exit tail=0.9@1538.0 | flags=psi_below_thresh
2025-09-05_005728UTC | 00000085--f247b281ca--80 | [rlog] v=0.4 base=14.0 raw=14.0 final=14.0 | cap=occlusion vis=14.0 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.2/0.4 reason=fov_exit tail=0.9@1537.8 | flags=psi_below_thresh
2025-09-05_005729UTC | 00000085--f247b281ca--80 | [rlog] v=0.7 base=13.1 raw=13.1 final=13.1 | cap=occlusion vis=13.1 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1537.7 | flags=psi_below_thresh
2025-09-05_005729UTC | 00000085--f247b281ca--80 | [rlog] v=0.7 base=14.0 raw=14.0 final=14.0 | cap=occlusion vis=14.0 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1538.1 | flags=psi_below_thresh
2025-09-05_005730UTC | 00000085--f247b281ca--80 | [rlog] v=0.9 base=15.5 raw=15.5 final=15.5 | cap=occlusion vis=15.5 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1538.3 | flags=psi_below_thresh
2025-09-05_005730UTC | 00000085--f247b281ca--80 | [rlog] v=0.8 base=12.0 raw=12.0 final=12.0 | cap=occlusion vis=12.0 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1538.8 | flags=psi_below_thresh
2025-09-05_005731UTC | 00000085--f247b281ca--80 | [rlog] v=0.9 base=9.8 raw=9.8 final=9.8 | cap=occlusion vis=9.8 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1539.2 | flags=psi_below_thresh
2025-09-05_005731UTC | 00000085--f247b281ca--80 | [rlog] v=0.9 base=12.1 raw=12.1 final=12.1 | cap=occlusion vis=12.1 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1539.6 | flags=psi_below_thresh
2025-09-05_005732UTC | 00000085--f247b281ca--80 | [rlog] v=0.8 base=12.2 raw=12.2 final=12.2 | cap=occlusion vis=12.2 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1540.2 | flags=psi_below_thresh
2025-09-05_005733UTC | 00000085--f247b281ca--80 | [rlog] v=0.8 base=10.4 raw=10.4 final=10.4 | cap=occlusion vis=10.4 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1540.7 | flags=psi_below_thresh
2025-09-05_005733UTC | 00000085--f247b281ca--80 | [rlog] v=0.7 base=14.8 raw=14.8 final=14.8 | cap=occlusion vis=14.8 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.1 psi=0.3/0.4 reason=fov_exit tail=0.9@1541.2 | flags=psi_below_thresh
2025-09-05_005734UTC | 00000085--f247b281ca--80 | [rlog] v=0.6 base=19.3 raw=19.3 final=19.3 | cap=occlusion vis=19.3 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.1 psi=0.2/0.4 reason=fov_exit tail=0.9@1541.6 | flags=psi_below_thresh
2025-09-05_005734UTC | 00000085--f247b281ca--80 | [rlog] v=0.7 base=19.2 raw=19.2 final=19.2 | cap=occlusion vis=19.2 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.1 psi=0.3/0.4 reason=fov_exit tail=0.9@1541.8 | flags=psi_below_thresh
2025-09-05_005735UTC | 00000085--f247b281ca--80 | [rlog] v=0.7 base=14.4 raw=14.4 final=14.4 | cap=occlusion vis=14.4 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.1 psi=0.3/0.4 reason=fov_exit tail=0.9@1542.2 | flags=psi_below_thresh
2025-09-05_005735UTC | 00000085--f247b281ca--80 | [rlog] v=0.6 base=15.4 raw=15.4 final=15.4 | cap=occlusion vis=15.4 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.2 psi=0.2/0.4 reason=fov_exit tail=0.9@1542.8 | flags=psi_below_thresh
2025-09-05_005736UTC | 00000085--f247b281ca--80 | [rlog] v=0.5 base=17.2 raw=17.2 final=17.2 | cap=occlusion vis=17.2 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.3 psi=0.2/0.4 reason=fov_exit tail=0.9@1543.1 | flags=psi_below_thresh
2025-09-05_005736UTC | 00000085--f247b281ca--80 | [rlog] v=0.4 base=18.5 raw=18.5 final=18.5 | cap=occlusion vis=18.5 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.2 psi=0.1/0.4 reason=fov_exit tail=0.9@1543.6 | flags=psi_below_thresh
2025-09-05_005737UTC | 00000085--f247b281ca--80 | [rlog] v=0.2 base=31.3 raw=31.3 final=31.3 | cap=occlusion vis=31.3 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.2 psi=0.1/0.4 reason=fov_exit tail=0.9@1543.9 | flags=psi_below_thresh
2025-09-05_005737UTC | 00000085--f247b281ca--80 | [rlog] v=0.1 base=33.3 raw=33.3 final=33.3 | cap=occlusion vis=33.3 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.1 psi=0.0/0.4 reason=fov_exit tail=0.9@1544.2 | flags=psi_below_thresh
2025-09-05_005738UTC | 00000085--f247b281ca--80 | [rlog] v=0.0 base=33.3 raw=33.3 final=33.3 | cap=occlusion vis=33.3 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.1 psi=0.0/0.4 reason=fov_exit tail=0.9@1544.2 | flags=psi_below_thresh
