created_utc	v	v_base	raw	final	active_cap	cap_visible_vmin	cap_occl_vmin	v_vis	v_occ	conf	kappa_vis	s_visible_m	psi_vis	psi_thresh	occlusion_reason	tail_frac	s_tail	overslow
2025-09-05 00:56:54	10.239487648010254	6.414372153141189	6.414372153141189	6.414372153141189	occlusion	6.414372153141189	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.06198956379639015	0.26533229839084094	14.335282707214354	3.8036135087876612	0.403	fov_exit	0.9	1405.4702341485995	1
2025-09-05 00:56:54	10.077333450317383	6.529657768258693	6.529657768258693	6.529657768258693	occlusion	6.529657768258693	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.04180783338633103	0.26533229839084094	14.108266830444334	3.7433788644330597	0.403	fov_exit	0.9	1411.2482031751845	1
2025-09-05 00:56:55	9.8419189453125	6.187281318599499	6.187281318599499	6.187281318599499	occlusion	6.187281318599499	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.06280595343564198	0.26533229839084094	13.7786865234375	3.6559305640705775	0.403	fov_exit	0.9	1416.5713592850548	1
2025-09-05 00:56:55	9.684234619140625	6.013694593899727	6.013694593899727	6.013694593899727	occlusion	6.013694593899727	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.08315723778428961	0.26533229839084094	13.557928466796874	3.5973563215138245	0.403	fov_exit	0.9	1421.6828795628865	1
2025-09-05 00:56:56	9.514214515686035	6.022353362938455	6.022353362938455	6.022353362938455	occlusion	6.022353362938455	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.10008793396365515	0.26533229839084094	13.319900321960448	3.534199766762668	0.403	fov_exit	0.9	1426.7218494396793	1
2025-09-05 00:56:57	9.456364631652832	6.1475422651748985	6.759328852921744	6.759328852921744	occlusion	6.1475422651748985	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.0814090868308314	0.26533229839084094	13.238910484313964	3.5127105469936253	0.403	fov_exit	0.9	1431.9913448712039	1
2025-09-05 00:56:57	9.336308479309082	6.281418943439608	6.281418943439608	6.281418943439608	occlusion	6.281418943439608	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.09051808855098668	0.26533229839084094	13.070831871032714	3.468113862221366	0.403	fov_exit	0.9	1437.3389325826486	1
2025-09-05 00:56:58	9.178595542907715	6.616719404539079	6.616719404539079	6.616719404539079	occlusion	6.616719404539079	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.07888043233337108	0.26533229839084094	12.8500337600708	3.4095289919594856	0.403	fov_exit	0.9	1442.6663256265049	1
2025-09-05 00:56:58	9.01433277130127	6.315367796333161	6.315367796333161	6.315367796333161	occlusion	6.315367796333161	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.08750945047639246	0.26533229839084094	12.620065879821777	3.3485110857369422	0.403	fov_exit	0.9	1447.8951005533036	1
2025-09-05 00:56:59	8.828057289123535	6.215589222057685	6.215589222057685	6.215589222057685	occlusion	6.215589222057685	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.08332271293970345	0.26533229839084094	12.359280204772949	3.2793162231888298	0.403	fov_exit	0.9	1452.6164545437696	1
2025-09-05 00:56:59	8.363805770874023	6.259705436305546	6.259705436305546	6.259705436305546	occlusion	6.259705436305546	2.7033448003383262	2.7245448302679085	2.7033448003383262	0.07948753299152331	0.26533229839084094	11.709328079223631	3.106862931872817	0.403	fov_exit	0.9	1458.0056622927739	1
