# VTSC watch offline window: 2025-09-05_003559UTC -> 2025-09-05_013559UTC
# Scanned 82 rlogs (mtime filter)
2025-09-05_003610UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003611UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003611UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003612UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003612UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003613UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003613UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003614UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003615UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003615UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003616UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003616UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003617UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003617UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003618UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003618UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003619UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003619UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003620UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003620UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003621UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003621UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003622UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003622UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003623UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003623UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003624UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003624UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003625UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003626UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003626UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003627UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003627UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003628UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003628UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003629UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003629UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003630UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003630UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003631UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003631UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003632UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003632UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003633UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003634UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003634UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003635UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003635UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003636UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003636UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003637UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003637UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003638UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003638UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
2025-09-05_003639UTC | 00000085--f247b281ca--59 | [rlog] v=0.0 base=22.2 raw=22.2 final=22.2 | cap=occlusion vis=22.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.0 psi=0.0/0.4 reason=fov_exit tail=0.9@1398.0 | flags=psi_below_thresh
