# flagged-only | window: 2025-09-05_004324UTC -> 2025-09-05_014324UTC | files=16
2025-09-05_004336UTC | 00000085--f247b281ca--66 | [rlog] v=20.4 base=22.2 raw=22.2 final=22.2 | cap=visible vis=22.2 occ=70.0 | v_vis=32.3 v_occ=70.0 conf=0.8 psi=0.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004337UTC | 00000085--f247b281ca--66 | [rlog] v=20.9 base=22.2 raw=22.2 final=22.2 | cap=visible vis=22.2 occ=70.0 | v_vis=30.4 v_occ=70.0 conf=0.7 psi=0.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004339UTC | 00000085--f247b281ca--66 | [rlog] v=22.1 base=21.2 raw=21.2 final=21.2 | cap=visible vis=21.2 occ=70.0 | v_vis=24.1 v_occ=70.0 conf=0.7 psi=0.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004339UTC | 00000085--f247b281ca--66 | [rlog] v=22.3 base=13.8 raw=14.0 final=14.0 | cap=visible vis=13.8 occ=70.0 | v_vis=12.4 v_occ=70.0 conf=0.9 psi=0.4/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004340UTC | 00000085--f247b281ca--66 | [rlog] v=22.5 base=20.4 raw=20.4 final=20.4 | cap=visible vis=20.4 occ=70.0 | v_vis=18.7 v_occ=70.0 conf=0.9 psi=0.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004340UTC | 00000085--f247b281ca--66 | [rlog] v=22.6 base=21.0 raw=21.0 final=21.0 | cap=visible vis=21.0 occ=70.0 | v_vis=19.7 v_occ=70.0 conf=0.9 psi=0.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004341UTC | 00000085--f247b281ca--66 | [rlog] v=22.7 base=20.8 raw=20.8 final=20.8 | cap=visible vis=20.8 occ=70.0 | v_vis=19.2 v_occ=70.0 conf=0.9 psi=0.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004341UTC | 00000085--f247b281ca--66 | [rlog] v=22.6 base=22.2 raw=22.2 final=22.2 | cap=visible vis=22.2 occ=70.0 | v_vis=27.7 v_occ=70.0 conf=0.9 psi=0.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004342UTC | 00000085--f247b281ca--66 | [rlog] v=22.4 base=13.3 raw=13.3 final=13.3 | cap=visible vis=13.3 occ=70.0 | v_vis=15.4 v_occ=70.0 conf=0.9 psi=0.3/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004342UTC | 00000085--f247b281ca--66 | [rlog] v=22.2 base=8.6 raw=8.6 final=8.6 | cap=visible vis=8.6 occ=70.0 | v_vis=9.4 v_occ=70.0 conf=0.9 psi=0.7/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004343UTC | 00000085--f247b281ca--66 | [rlog] v=22.0 base=8.2 raw=8.2 final=8.2 | cap=visible vis=8.2 occ=70.0 | v_vis=8.1 v_occ=70.0 conf=0.9 psi=0.9/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004343UTC | 00000085--f247b281ca--66 | [rlog] v=21.8 base=6.4 raw=6.4 final=6.4 | cap=visible vis=6.4 occ=70.0 | v_vis=6.4 v_occ=70.0 conf=0.9 psi=1.5/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004344UTC | 00000085--f247b281ca--66 | [rlog] v=21.6 base=5.7 raw=5.7 final=5.7 | cap=visible vis=5.7 occ=70.0 | v_vis=5.9 v_occ=70.0 conf=0.8 psi=1.7/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004344UTC | 00000085--f247b281ca--66 | [rlog] v=21.6 base=5.3 raw=5.3 final=5.3 | cap=visible vis=5.3 occ=70.0 | v_vis=5.2 v_occ=70.0 conf=0.7 psi=2.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004345UTC | 00000085--f247b281ca--66 | [rlog] v=21.7 base=5.1 raw=5.1 final=5.1 | cap=visible vis=5.1 occ=70.0 | v_vis=5.2 v_occ=70.0 conf=0.7 psi=2.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004345UTC | 00000085--f247b281ca--66 | [rlog] v=21.6 base=5.5 raw=5.5 final=5.5 | cap=visible vis=5.5 occ=70.0 | v_vis=5.3 v_occ=70.0 conf=0.7 psi=2.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004446UTC | 00000085--f247b281ca--67 | [rlog] v=25.6 base=8.9 raw=9.7 final=9.7 | cap=visible vis=8.9 occ=70.0 | v_vis=11.6 v_occ=70.0 conf=0.9 psi=0.5/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004447UTC | 00000085--f247b281ca--67 | [rlog] v=25.7 base=6.9 raw=7.6 final=7.6 | cap=visible vis=6.9 occ=70.0 | v_vis=6.8 v_occ=70.0 conf=0.7 psi=1.5/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004447UTC | 00000085--f247b281ca--67 | [rlog] v=26.1 base=7.9 raw=8.7 final=8.7 | cap=visible vis=7.9 occ=70.0 | v_vis=7.2 v_occ=70.0 conf=0.7 psi=1.4/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004448UTC | 00000085--f247b281ca--67 | [rlog] v=26.5 base=8.7 raw=9.5 final=9.5 | cap=visible vis=8.7 occ=70.0 | v_vis=8.6 v_occ=70.0 conf=0.7 psi=1.0/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
